"MSID","A0","A1","A2","A3","A4","A5","B0","B1","B2","B3","B4","B5","GName50k","f0","dl0"
153,369585.94,0.9996775,0.0173122,-1.04E-009,1.81E-009,-3.60E-010,4456429.27,-0.0173071,0.9996669,1.00E-010,2.30E-010,-3.03E-009,"Κατερίνη",40.15,-1.15
154,497190.17,0.9996089,0.0004,2.00E-011,1.10E-010,-8.00E-011,4566293.81,-0.0004027,0.9996091,1.50E-010,1.60E-010,-1.80E-010,"Κάτω-Νευροκόπιον",41.15,0.15
155,678873.31,0.9997753,-0.019793,2.40E-009,-2.18E-009,2.10E-010,3902383.78,0.0197793,0.9997773,1.60E-010,2.70E-010,4.62E-009,"Κάτω-Χωρίον",35.15,2.15
156,319657.5,0.9997985,0.0215042,-2.09E-009,2.26E-009,-4.60E-010,4124371.61,-0.0215025,0.9997914,2.00E-010,-2.40E-010,-4.38E-009,"Κάτω-Φιγαλεία",37.15,-1.45
157,413415.77,0.9996366,0.0119018,-1.45E-009,8.50E-010,2.30E-010,4566809.57,-0.0119003,0.999631,-1.80E-010,-4.20E-010,-1.93E-009,"Κερκίνη",41.15,-0.45
158,154430.02,1.0000479,0.0451055,-4.38E-009,4.15E-009,-5.20E-010,4407601.56,-0.0451088,1.0000568,2.00E-010,-5.00E-011,-8.31E-009,"Κέρκυρα",39.45,-3.45
159,320857.52,0.9997806,0.0217461,-2.19E-009,2.32E-009,-4.60E-010,4179847.36,-0.0217525,0.9997788,6.00E-011,-4.10E-010,-4.54E-009,"Κέρτεζη",37.45,-1.45
160,764806.23,1.0000216,-0.0309756,2.80E-009,-3.12E-009,-1.40E-010,4071065.87,0.0309675,1.0000044,6.00E-011,-2.80E-010,6.84E-009,"Κέφαλος",36.45,3.15
161,497060.57,0.9996361,0.0003088,6.60E-010,-1.05E-009,-1.79E-009,4233371.15,-0.0003023,0.9996415,1.25E-009,-8.00E-010,2.43E-009,"Κηφισιά",38.15,0.15
162,412758.03,0.9996334,0.0117896,-1.06E-009,1.05E-009,-2.00E-011,4511308.92,-0.0117829,0.9996386,1.40E-010,-1.40E-010,-2.04E-009,"Κιλκίς",40.45,-0.45
163,541628.29,0.9996078,-0.0048699,6.40E-010,-6.50E-010,2.90E-010,4067075.64,0.0048678,0.9996096,4.00E-011,1.90E-010,1.02E-009,"Κίμωλος",36.45,0.45
164,323299.2,0.9997464,0.0222371,-2.96E-009,1.99E-009,-4.80E-010,4290811.42,-0.0222404,0.9997713,2.10E-010,4.20E-010,-4.37E-009,"Κλεπά",38.45,-1.45
